shop,name,lat,lon
tailor,Ателье «Мерка»,59.9293015,30.2418678
paint,Садолин,59.928357,30.2449232
second_hand,Модное ассорти,59.9292828,30.2419401
convenience,Квартет,59.5697955,30.1197695
supermarket,Смарт,59.5741102,30.1259765
convenience,Атомный,59.5727402,30.1261183
car_repair,Шиномонтаж,59.7476045,30.4993888
electronics,Селена,59.7195614,30.4135095
kiosk,,59.7193366,30.4078648
alcohol,Kauffman,59.7176768,30.4056276
car,Тойота-центр Автово,59.8636787,30.2818399
car,Росспан,59.8631597,30.2828736
convenience,Продукты,59.7195654,30.4088502
mobile_phone,Tele2,59.7197286,30.409074
mobile_phone,Евросеть,59.720006,30.409464
beauty,Стайл,59.7197878,30.4091508
bakery,Лакомка,59.7192071,30.4084564
photo,"фотоателье ""Пирра""",59.7187632,30.4098595
boutique,K & N fashion,59.7188154,30.4097227
alcohol,Гостинец,59.7188685,30.4079815
greengrocer,Овощная лавка,59.930088,30.24472
convenience,,59.930497,30.245304
clothes,Шарм,59.930373,30.2457933
clothes,,59.9307536,30.2452565
kiosk,,59.9295485,30.2497963
travel_agency,Русский сезон,59.9328938,30.2478388
hairdresser,Он и Она,59.9304114,30.2445668
supermarket,Полушка,59.9311486,30.2479892
outdoor,Адреналин.ru,59.9296849,30.2491731
clothes,Шарм-эконом,59.9291271,30.247305
books,Дом книги,59.9317115,30.2456953
kiosk,сигареты,59.9308862,30.2461588
convenience,,59.930783,30.2455349
department_store,"Торговый центр ""Гавань""",59.930924,30.246489
bakery,,59.9306439,30.2463931
furniture,Мебель ЕС,59.7174236,30.409674
books,Книги,59.7184087,30.407326
furniture,Da Vinci,59.9350203,30.2535346
clothes,Алекс,59.9332323,30.2530314
sports,Всё для бильярда,59.9340036,30.255956
boat,Планета лодок,59.9345513,30.2519719
gift,Matryoshka,59.9337139,30.2548182
doityourself,Стройтовары,59.7176576,30.4064922
supermarket,Народная 7Я семьЯ,59.8139248,30.564782
furniture,Петербургский дом,59.9288685,30.2486086
supermarket,Полушка,59.8082295,30.5754585
beauty,Стиль,59.809661,30.5635243
convenience,Продукты,59.8111315,30.5615433
beauty,Мозаика,59.9318364,30.2586799
stationery,Канцелярская мекка,59.9316561,30.2580307
convenience,Елена,59.9299818,30.2524224
bakery,Каравай,59.9312791,30.2575818
kiosk,,59.9313732,30.2570668
hardware,Tikkurila,59.9308212,30.25618
doityourself,Стройудача,59.7767114,30.0851579
convenience,,59.8141863,30.5650826
stationery,,59.8116829,30.5690981
convenience,Берёзка,59.8113658,30.5694298
supermarket,Славянка,59.7477776,30.4961892
supermarket,Любимый,59.9265916,30.3294506
convenience,Продукты,59.9283105,30.3259801
bag,GaLanti,59.9270853,30.3307972
sports,Прометей,59.7243456,30.4150434
hairdresser,"Салон красоты ""Лайм""",59.7254629,30.418068
florist,Софи Флор,59.9375669,30.2374928
second_hand,,59.9373446,30.2347017
clothes,Солнышко,59.9374309,30.2355632
beauty,Super Kokos,59.9357404,30.2372225
department_store,,59.9373619,30.2348956
bathroom_furnishing,Сан-Саныч,59.9375582,30.2368596
photo,Kodak Express,59.9344827,30.2385939
convenience,Гастроном №42,59.93761,30.2374799
hairdresser,Velardi,59.9344152,30.2386208
furniture,Центр «Антиквар»,59.9353199,30.2354547
billiard,Фора Бильярд,59.9357012,30.2380524
shoe_repair,,59.9341779,30.2385831
supermarket,Санта,59.9372825,30.2344669
shoes,,59.9373921,30.2351454
shoe_repair,,59.935028,30.238298
hairdresser,"Салон красоты ""Акварель""",59.7340616,30.4205918
supermarket,Нетто,59.7343177,30.4207083
jewelry,Яхонт,59.9343282,30.3145383
supermarket,Полушка,59.9344233,30.3137509
furniture,Рода,59.9341424,30.3140141
supermarket,Пятёрочка,59.9571915,30.3551248
florist,Оранж,59.958741,30.3542157
hifi,VideoCity,59.9588577,30.3498519
supermarket,РеалЪ,59.9589009,30.3495816
